,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
629,"Kliegel, 2004","Kliegel, M., Eschen, A., & Thöne-Otto, A. I. (2004). Planning and realization of complex intentions in traumatic brain injury and normal aging. Brain and Cognition, 56(1), 43-54.",19,21,24.26,70.81,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Percent of possible categories completed,no,1.14543913,7.983068236,2.825432398
630,,,,,,,inhibition,no,complex prospective memory task,"Participants were instructed to develop a plan and then afer a delay, execute the plan, under different conditions.",Performance score for intention execution,no,0.761983994,9.220652402,3.036552717
631,"Krampe, 2005","Krampe, R. T., Mayr, U., & Kliegl, R. (2005). Timing, sequencing, and executive control in repetitive movement production. Journal of Experimental Psychology: Human Perception and Performance, 31(3), 379.",16,16,19.06,70,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.496187414,1.584432182,1.258742302
632,"Kuhlman, 2006","Kuhlman, A., Little, D., & Sekuler, R. (2006). An Interactive Test of Serial Behavior: Ageand Practice Alter Executive Function. Journal of clinical and experimental neuropsychology, 28(1), 126-144.",15,15,20.4,74.9,processing speed,no,Processing Speed Task,Participants had to indicate the location of a stimuli,Number of correct responses,NA,1.221993914,0.127312806,0.356809201
633,,,,,,,shifting,no,Number Letter Sequencing Task,"Participants completed three trails of a Trail Making Task. Participants were instructed to connect circles with numbers in ascending order and circles with letters in alphabetical order. Then participants completed Trail 3, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for letter-number sequence in seconds,no,3.275802434,0.127511671,0.357087764
634,"Pettigrew, 2014","Pettigrew, C., & Martin, R. C. (2014). Cognitive declines in healthy aging: Evidence from multiple aspects of interference resolution. Psychology and aging, 29(2), 187.",102,62,21,71,inhibition,no,Flanker Task,Participants responded to central stimuli (letter) by pressing a key that corresponded to the letter.,Percent correct on interference trials,no,0.88133216,0.025696041,0.160299847
635,,,,,,,inhibition,no,Picture Word Inteference Task,Participants were instructed to name the picture while ignoring the words printed across the images.,RT on interference trials in milliseconds,no,1.23256919,53.65445556,7.324920174
636,,,,,,,inhibition,yes,Stroop,"Participants were presented with either left or right pointing arrows on either the left, center, or right of the screen. Participants responded to whether the direction and location of the arrow were the same or neutral, meaning arrows were presented in the center of the screen.",RT on interference trials in milliseconds,no,2.355284221,25.42871158,5.042688923
637,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT on interference trials in milliseconds,no,1.922329381,100.9385046,10.04681565
638,,,,,,,updating,yes,Operation Span Task,Participants read simple arithmetic problem and were asked whether the solution was correct or incorrect and were told to recall an item presented at the end of each trial in the order presented to them.,Number of correct completions,no,1.36661519,0.873341306,0.934527317
639,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.294922434,0.047712997,0.21843305
640,,,,,,,updating,no,Sternberg Task,Participants indicated whether or not a word was presented at the beginning of a trial.,Percent correct,no,0.005036184,0.21447883,0.463118592
641,"Sanders, 2012","Sanders, C., & Schmitter-Edgecombe, M. (2012). Identifying the nature of impairment in planning ability with normal aging. Journal of Clinical and Experimental Neuropsychology, 34(7), 724-737.",50,50,22.21,72.78,updating,no,Zoo Map Task,Participants were given a map with locations to visit and a set of rules to follow. Participants were required to follow instructions for each trial.,Errors (formulation accuracy) on Verison 1,no,0.600641616,0.053923901,0.232215205
642,,,,,,,shifting,no,Trail Making Test,"Participants completed Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT on Trail B in seconds,no,1.480569287,1.938137927,1.392170222
643,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter.,Number of words produced,no,-3.482709573,0.382543755,0.618501217
644,,,,,,,shifting,no,Design Fluency,"Participants must connect four either filled, empty, or alternating dots as fast as possible.",Number of correct designs,no,1.17052244,0.277323414,0.526615053
645,"Popham, 2015","Popham, L. E., & Hess, T. M. (2013). Age differences in the underlying mechanisms of stereotype threat effects. Journals of Gerontology Series B: Psychological Sciences and Social Sciences, 70(2), 223-232.",64,63,19.42,71.92,processing speed,no,Processing Speed Task,Participants were asked to cancel out letters among distractors,number of correct responses,no,0.982351911,0.169751512,0.412009116
646,,,,,,,updating,yes,Operation Span Task,Participants read simple arithmetic problem and were asked whether the solution was correct or incorrect and were told to recall an item presented at the end of each trial in the order presented to them.,Number of recalled words,no,0.245638393,0.219552658,0.468564465
647,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.741713268,0.688543469,0.829785195
648,"Prakash, 2015","Prakash, R. S., Hussain, M. A., & Schirda, B. (2015). The role of emotion regulation and cognitive control in the association between mindfulness disposition and stress. Psychology and aging, 30(1), 160.",50,50,23.6,65.4,updating,no,n-back,Participants were presented with a sequence of letters and were asked whether each letter matched the letter that occurred one or two letters before.,Accuracy cost  between 1-back and 2-back conditions,no,-0.927518897,0.039456735,0.198637196
649,,,,,,,inhibition,no,Flanker Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT cost between incongruent and congruent trials in milliseconds,no,-0.893023852,7.368025231,2.71441066
650,,,,,,,shifting,no,Local Switching Task,Participants were given a single digit and had to decide either whether the number was more than or less than five or if the number was even or odd.,RT on switch trials on the dual task in milliseconds,no,0.164526837,63.61318914,7.975787682
651,,,,,,,shifting,no,Global Task Switching Task,"Participants were given a single digit and switched between answering questions about the stimuli, based on the color of the background screen. Participants had to decide either whether the number was more than or less than five or if the number was even or odd.",RT on non-switch trials on the dual task in milliseconds,no,-0.246753836,47.91374856,6.92197577
652,"Ostrosky-Solís, 2007","Ostrosky-Solís, F., Esther Gómez-Pérez, M., Matute, E., Rosselli, M., Ardila, A., & Pineda, D. (2007). Neuropsi Attention and Memory: a neuropsychological test battery in Spanish with norms by age and educational level. Applied Neuropsychology, 14(3), 156-170.",26,22,21.9,71.6,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,0.081825278,0.095749907,0.309434818
653,,,,,,,processing speed,no,Updating Task,Participants were given a sequence of digits to remember and immediately repeat out loud,Largest string of numbers correctly recalled,no,-0.074221247,0.15198479,0.389852266
654,,,,,,,updating,no,Updating Task,Participants viewed a demonstration of a tapping sequence and were instructed to repeat the sequence in the same order.,Longest sequence correctly recalled,no,0.070079066,0.101040823,0.317869192
655,,,,,,,processing speed,no,Visual Search Task,Participants had to indicate which items were the same as the target item,Number of correct responses,no,0.383815256,0.272466515,0.521983252
656,,,,,,,updating,no,Verbal Fluency,Participants viewed sets of figures and were asked to form as many categories as possible.,Number of categories produced,no,-0.561990097,0.181210804,0.425688623
657,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a category.,Number of words produced,no,0.109808632,0.372288471,0.610154465
658,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter.,Number of words produced,no,-0.301510485,0.235631659,0.485419055
659,,,,,,,updating,no,Design Fluency,Participants must connect dots in five-dot matrix using four lines.,Number of correct designs,no,-0.310346209,0.182420156,0.427106727
